reported_date_time,reported_date_time_utc,posted_date,city,state,country_code,shape,reported_duration,duration_seconds,Summary,has_images,day_part
1979-09-26T21:00:00Z,26/09/1979 21:00,29/01/2002,Monsey,NY,US,disk,10min.,600,"I saw a large sauser shaped craft hovering over power lines for 10 minutes,then it flew away rapidly.",FALSE,afternoon
1989-10-10T07:00:00Z,10/10/1989 07:00,14/12/2004,Calabasas,CA,US,disk,approx 5 min,300,Unidentified object on Mulholland Highway.,FALSE,night
1993-12-05T06:00:00Z,05/12/1993 06:00,12/06/2002,Poughkeepsie,NY,US,unknown,10 minutes,600,Five lights over my car in the Catskills.,FALSE,night
1984-11-15T23:00:00Z,15/11/1984 23:00,18/04/2012,Jasper,FL,US,unknown,4 minutes,240,"Lights moving in a circular motion, but hovering without any SOUND!",FALSE,nautical dusk
1989-06-30T07:00:00Z,30/06/1989 07:00,24/01/2019,Irvine,CA,US,diamond,15 minutes,900,Watch a bright star at twilight it descended and split off into two over the bay with no sound two objects with neon lights underneath.,FALSE,night
1978-11-28T04:00:00Z,28/11/1978 04:00,17/01/2004,Ukiah,CA,US,sphere,10 minutes,600,"UFO over Ukiah, sphere with beams coming out from it...then I forgot the entire sighting until I saw a report in the paper",FALSE,night
1975-06-16T02:00:00Z,16/06/1975 02:00,12/09/1999,Richmond,VA,US,disk,30 minutes+,1800,"Was heading Southbound on Interstate as a passenger in back of car, saw object behind us and it was making manuevers that no known airc",FALSE,nautical dusk
1985-08-16T03:00:00Z,16/08/1985 03:00,08/02/2011,Garden City,SC,US,circle,2 hours,172800,"6 equal size round amber colored lights equal distance apart, stationary for at least 2 hours.",FALSE,night
1992-09-10T18:00:00Z,10/09/1992 18:00,17/08/2017,Chisinau,Chisinau Municipality,MD,light,15 minutes,900,Moving star stopped and then another star appeared right next to it and they started moving.,FALSE,astronomical dusk
1982-05-15T05:00:00Z,15/05/1982 05:00,15/01/2018,Saegertown,PA,US,light,3 seconds,3,The 3 seconds of my life that has lasted 35 years,FALSE,night
1980-11-16T03:00:00Z,16/11/1980 03:00,09/09/2022,Middlesex,NJ,US,triangle,5 seconds,5,"Object had three white lights at each corner forming a triangle, estimated to be 1/2 degree separated",FALSE,night
1990-09-02T03:30:00Z,02/09/1990 03:30,02/09/2005,San Antonio,TX,US,other,less than a minute,30,"7 points of light in the sky, far away, circling each other, then fading away.",FALSE,night
1985-06-01T20:00:00Z,01/06/1985 20:00,27/04/2004,Prineville,OR,US,other,15 minutes,900,Small silver pyramid object just above the power lines observed for about fifteen minutes in the mid 80's,FALSE,afternoon
1984-05-26T06:00:00Z,26/05/1984 06:00,26/05/2016,Gainesville,GA,US,orb,10 seconds,10,((HOAX??))  I saw a U.S. jet chasing a large geen orb with controlled movements over my house and neighborhood. ((anonymous report)),FALSE,night
1984-05-14T22:00:00Z,14/05/1984 22:00,21/01/2008,Los Angeles,CA,US,disk,12min,720,desert out of los angels duration 12 min 1984 3pm and clear skys 1500 meters ftom me bigger than house disapered  fast,FALSE,afternoon
1978-10-03T22:00:00Z,03/10/1978 22:00,12/12/2009,Burt,MI,US,circle,3 minutes,180,A silent circular craft with lights on the side and three on the bottom as in a triangle.,FALSE,afternoon
1993-06-02T02:00:00Z,02/06/1993 02:00,15/05/2013,Sherbrooke,QC,CA,fireball,20 minutes,1200,"Orange orb directs arch-like lazer to earth which reflects back up to the orb, followed by a sonic boom.",FALSE,nautical dusk
1985-07-02T02:00:00Z,02/07/1985 02:00,26/11/2003,Los Alamitos,CA,US,changing,1 minute,60,Goodyear Blimp turns into UFO.,FALSE,afternoon
1976-06-02T00:00:00Z,02/06/1976 00:00,05/08/2001,Columbus,OH,US,light,2 minutes,120,The object moved at right angles.,FALSE,afternoon
1987-05-21T07:00:00Z,21/05/1987 07:00,12/06/2008,San Antonio,TX,US,disk,10 minutes,600,We saw a UFO that night that was about 400 feet long that made no sound and had a beacon of light shining out of it like it was looking,FALSE,night
1992-10-01T03:00:00Z,01/10/1992 03:00,12/05/2010,Fair Oaks,CA,US,disk,<60 seconds,60,"Fair Oaks, CA 1990's UFO Sighting",FALSE,astronomical dusk
1994-06-02T01:00:00Z,02/06/1994 01:00,30/08/2013,South Yarmouth,MA,US,light,6 minutes,360,"Very cloudy night, seeing bright light behind clouds and seeing many transparent green spheres shooting out from the clouds.",FALSE,nautical dusk
1986-09-19T23:00:00Z,19/09/1986 23:00,11/01/2002,Portsmouth,VA,US,unknown,10 minutes,600,A trail of smoke,FALSE,afternoon
1994-06-01T21:00:00Z,01/06/1994 21:00,18/02/2001,Bloomingdale,IL,US,sphere,1-1/2 min.,30,pulsing silver object in the daytime,FALSE,NA
1992-07-15T06:30:00Z,15/07/1992 06:30,17/01/2004,Duluth,MN,US,other,<5 sec.,5,luminous orange half-disk winks on then off,FALSE,astronomical dawn
1978-06-01T05:30:00Z,01/06/1978 05:30,21/03/2003,Christchurch,Canterbury,NZ,other,2 mins,120,Mothercraft sighting over Christchurch NZ witnessed by 1000's in late 70's and as yet largely unreported,FALSE,civil dusk
1989-07-04T16:30:00Z,04/07/1989 16:30,16/02/2000,Morganton,NC,US,sphere,30 sec,30,Large Silver Levitating Ball,FALSE,morning
1990-10-06T02:00:00Z,06/10/1990 02:00,15/05/2006,Fergus,ON,CA,rectangle,3min,180,football field sized craft Battlestar Galacticaonly remember waking up the next morning with no memory of going to bed and was not even,FALSE,night
1991-06-24T02:00:00Z,24/06/1991 02:00,08/06/2012,New York City,NY,US,other,1hr,86400,22:00 hrs far  rockaway  n.y.,FALSE,astronomical dusk
1975-01-01T08:00:00Z,01/01/1975 08:00,07/03/1998,Jamestown,NY,US,sphere,a few minutes,180,"I was 13-15.  I was in my parent house on Moon Rd., Woke up in the middle of the night.  Looked out the window. saw a SMALL round objec",FALSE,night
1976-09-05T06:00:00Z,05/09/1976 06:00,28/05/2005,Broadview Heights,OH,US,disk,3 minutes,180,Low flying metalic saucer slowly flying over apartment complex  (30 feet in air and silent),FALSE,night
1975-11-16T02:30:00Z,16/11/1975 02:30,20/06/2005,Girard,OH,US,oval,45seconds?,45,low flying oval light with zig zag bands on it .,FALSE,night
1984-09-01T01:00:00Z,01/09/1984 01:00,03/01/2001,Dublin,NA,IE,triangle,8 to 10 mins,600,"it was large ,black or a dark collor,it hoverd over a train station called heuston train station in dublin city where i worked at the t",FALSE,night
1993-07-01T00:00:00Z,01/07/1993 00:00,10/10/2011,New York City,NY,US,other,2.5min.,150,V shaped lights.huge.noisless.flying very slow,FALSE,afternoon
1984-10-20T09:00:00Z,20/10/1984 09:00,03/12/2004,Columbus,OH,US,light,4 hr,345600,"Driving in a thick pea soup fog. Car headlights went out suddenly. I had seen ""Close Encounters of the 3rd Kind"" a few years ago.  ( th",FALSE,night
1989-09-02T01:00:00Z,02/09/1989 01:00,24/01/2019,Middletown,NY,US,diamond,20 minutes,1200,Diamond shaped UFO in 1989 entered into our apartment complex.  ((anonymous report)),FALSE,night
1976-06-22T08:00:00Z,22/06/1976 08:00,19/03/2009,Palo Alto,CA,US,light,15-30 min,1800,A large amber ball of light responding to spotlight.,FALSE,night
1986-08-16T05:00:00Z,16/08/1986 05:00,16/07/2006,Seattle,WA,US,disk,1 minute,60,Disk with 7 red lights moving like a wheel,FALSE,astronomical dusk
1988-10-11T05:45:00Z,11/10/1988 05:45,27/04/2004,Seattle,WA,US,unknown,2 sec.,2,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,FALSE,night
1984-06-30T06:30:00Z,30/06/1984 06:30,12/06/2008,El Paso,TX,US,circle,20min,1200,bright light over desert in el paso tx 1984,FALSE,night
1979-03-02T07:29:00Z,02/03/1979 07:29,03/12/2004,Downey,CA,US,chevron,12 seconds,12,Very large silent slim chevron aircraft over Downey CA 1979,FALSE,night
1975-07-16T04:00:00Z,16/07/1975 04:00,02/12/2000,Grinnell,IA,US,rectangle,15-20 minutes,1200,"Interesting odor case, unique perhaps in the ""glob"" description emanating from UFO.",FALSE,night
1994-06-02T02:00:00Z,02/06/1994 02:00,07/12/2006,Lindsay,CA,US,orb,about 3 minutes,180,floating spheres or huge orbs in sky radiating one kind of light white light .,FALSE,afternoon
1994-11-11T05:00:00Z,11/11/1994 05:00,07/08/2007,Vidor,TX,US,unknown,2 hours,172800,"i believe i was abducted almost directly in front of my home.

 500 Lights On Object0: Yes",FALSE,night
1986-08-15T19:30:00Z,15/08/1986 19:30,14/12/2004,Ogden,UT,US,cigar,15 minutes,900,"Early afternoon siting of cigar shapped object, August 1986, Pineview Reservour, Ogden Utah",FALSE,afternoon
1993-06-15T08:00:00Z,15/06/1993 08:00,19/08/2000,Memphis,TN,US,fireball,few seconds,3,Blue-ish fireball speeds past the University of Memphis in winter of 1993-1994.,FALSE,night
1977-07-21T00:00:00Z,21/07/1977 00:00,07/06/2019,Grand Rapids,MI,US,disk,5 minutes,300,1977 my siblings and I saw a huge disc shaped UFO with revolving lights and lots of windows hovering in front of us.,FALSE,afternoon
1989-08-10T19:00:00Z,10/08/1989 19:00,14/02/2010,Gibraltar,0,GI,other,45 minutes,2700,It was a typically hot Summer´s evening in Gibraltar. I enjoyed walking my dog and on this particular day I had chosen a relatively qui,FALSE,afternoon
1975-08-05T20:35:00Z,05/08/1975 20:35,16/04/2005,Richmond,VA,US,oval,2 minutes,120,"I saw a big UFO ship, August 5, 1975, four or so city blocks high ; it seemed to create clouds, and I saw the mechanical functions.",FALSE,afternoon
1991-10-02T04:30:00Z,02/10/1991 04:30,28/01/1999,Las Vegas,NV,US,cigar,5 seconds,5,For seven years I have kept this fairly quiet. I was walking my dog on a clear dark night where I live on the north west side of Las Ve,FALSE,night
1992-06-15T05:00:00Z,15/06/1992 05:00,02/06/1998,Jacksonville,FL,US,formation,3 min,180,An very similar sighting to the one reported over Phoenix this year happened over Jacksonville in 1992.,FALSE,night
1988-01-10T04:00:00Z,10/01/1988 04:00,23/12/2002,Ellington,CT,US,triangle,3 min,180,"Large triangular craft aprox. 200-300 ft wide , hovering approximately 150 ft above ground, and making little or no sound",FALSE,night
1983-05-16T02:30:00Z,16/05/1983 02:30,27/04/2007,Willits,CA,US,diamond,1.50 min.,90,Saw dark diamond shaped UFO for 1 and a half minutes at tree top level.,FALSE,afternoon
1992-05-19T01:00:00Z,19/05/1992 01:00,07/03/1998,Elmer,NJ,US,other,10 minutes,600,I was on the way home from my girl friends house at around 900 pm and as i passed by   centerton lake i witnesed a huge object sitting,FALSE,civil dusk
1994-08-21T06:00:00Z,21/08/1994 06:00,20/06/2005,Yuma,AZ,US,oval,1 minute,60,"Small red dot zoomed in at high speeds, came up to us. Saw the craft in slight detail.",FALSE,night
1984-01-23T13:45:00Z,23/01/1984 13:45,17/03/2004,Bozeman,MT,US,cigar,10 min,600,Driving on I-90 East toward Bozeman at 6:45 a.m. over the mountains a huge cigar shaped white object (looked like sun reflecting off of,FALSE,astronomical dawn
1978-07-21T04:00:00Z,21/07/1978 04:00,02/12/2000,Campbell River,BC,CA,NA,10 seconds,10,"Two bright lites hovering approximately 30,000 feet,they almost collided then flew off in opposite directions.",FALSE,afternoon
1980-10-21T00:00:00Z,21/10/1980 00:00,27/04/2004,Dallas,TX,US,triangle,30-45 min,2700,"We were in a boat fishing at Lake Ray Hubbard, heading toward north end of lake. We noticed an object hovering just above a water tower",FALSE,afternoon
